id|short_title|location|view_date|text
80010|dm2|DVD at home|2001-01-12|<p>OK, I've already seen this movie a number of times. I first saw it in the theater in Chicago, perhaps its first showing there in 1994, but I cannot remember now. I've seen it on video at least 2 or 3 times.  But now I own it on DVD. I put in quite a bit of effort to find this, and then I came across it at random on a website. They've sold out, but it was <a href=\"http://www.pokerindustries.com\" title=\"Poker Industries\">Poker Industries</a> if you want to watch them for it.</p><p>This is considered by many to be Jackie Chan's greatest film. I cannot honestly say if it his best... I've never been one for making those kinds of evaluations. It is definitely a gem. This beautiful period piece has Jackie Chan as Wong Fei Hung, trying to prevent the British from spiriting away the \"crown jewel\" of China. A fun story.</p><p>Drunken style is just a thrill to watch, and that is what makes this movie. There aren't really a lot of fancy stunts, certainly not compared to Jackie's more modern-themed films, but plenty of good fighting. For me, it is something that you just don't see anymore. And, this is straight (choreographed, of course) fighting, with wire-work limited to exaggerated blows (i.e. people fly farther than reality allows for such hits).</p><p>The DVD. I was worried from the moment I ordered it, because I had not seen information on this disc before. It's from China, not Hong Kong, and all the menus are in Chinese. Luckily, I can read enough characters to figure out which was the English subtitle option. The transfer is OK. Nothing spectacular, but better than video. My one major complaint, and the thing I figured I'd get bitten on when I placed the order: the widescreen is not the full, original aspect ratio. What does this mean. It means that if I can ever get my hands on a DVD which certifiably has the correct aspect ratio, I will buy it (no dubbed crap, though).</p>
80011|nosferatu|Silent Movie Theater|2001-01-13|<p>This is one of those movies I have been meaning to see for a long time. A few months ago, some friends and I played Vampire, so I was inspired at that point to catch up on some old flicks I hadn't seen, such as <strong>Near Dark</strong>. Then, <strong>Shadow of the Vampire</strong> came out in theaters here a while ago, and it looked to be a promising movie. Of course, it didn't make sense to me to see the movie before I'd seen the movie it was based on. Then I saw an advertisement that the Silent Movie Theater was going to be showing the original. It didn't take any coercing to get me there.</p><p>I had never been to the Silent Movie Theater before, which I guess opened up here in L.A. as the only silent movie theater in the country about two years ago. It is an excellent theater, and I'd recommend anyone to catch a movie there at some point. Arrive early, though, because we showed up 40 minutes early and were almost the last people to get tickets before the show sold out. They showed three short films before the feature, everything accompanied by live piano. The pianist was excellent, not just to my untrained ear, but also to one of the people I went with, who has a B.A. in music and really appreciates this stuff. The shorts were also excellent, two cartoons and a Buster Keaton piece. I have tried before to find Keaton's work on video and didn't succeed, so this was nice. I'll likely head back to this theater when they show some of Keaton's feature films.</p><p>Nosferatu. This was fun. Max Schreck is amazing in his movements, and the lighting is done very well. The story is also an interesting adaptation to the Stoker novel. One little, excellent tid bit which had been pointed out to me before we saw the film: the woman is waiting for her lover... by the sea. It isn't her fiance, either, who is traveling by boat, so make your own conclusions. The film is also funny, whether intentional or not, at many points. The scenes of Count Orlof running around Wisborg with coffin in hand still make me laugh just thinking about them.</p><p>Any criticism of the film. Well, I have to say that I have not been able to watch a silent film in recent years without dozing off. This film was no exception. I missed bits and pieces of the end of the movie because of this, though I still caught enough to follow it. Other than that, what is there to criticize about this artwork of early cinema. I can think of nothing.</p>
80012|ironmonkey|DVD at home|2001-01-15|<p>I've already seen this movie a couple times, and recently bought it on DVD. With the day off in honor of Martin Luther King, I decided to spend part of my evening in front of the tube. This is considered by some to be the greatest martial arts (termed loosely here) film of the nineties. It is certainly among the top films, and bears the marks of master Yuen Woo-Ping, who I have praised elsewhere (<short=\"buddhistfist\">here</a>, <short=\"cthd\">here</a>).</p><p>This is one of those wonderful films where everything is infused with the spirit of kung fu. What I mean is that something as simple as writing down a prescription is done masterfully. My favorite example of this is in the film <strong>Fong Sai Yuk</strong> where his mother carries a bowl/jar of soup to him, filled to the brim, but does not spill any because of her superior skills, and delivers the soup hot. You come away from this film, not ready to fight everyone, but with a sense of utmost coordination and accuracy. It's the result of excellent wire-work and a playful script.</p><p>Any down side to this film. Well, I'll be honest with you, the young Wong Fei Hung character isn't very skilled. Of course, I am comparing him to such young stars as Xie Miao. He has some excellent staff work, but his body just isn't well trained yet. I don't know what his training is, perhaps he doesn't even know modern Wu Shu. The film is still very entertaining, nonetheless. And, of course, Lady Orchid had me mesmerized.</p>
80013|drwai|Nuart Theatre|2001-01-22|<p>The Nuart has this pathetic little Hong Kong festival going on, trying to capitalize on the success of <short=\"cthd\">Crouching Tiger</a>. A couple films each with Chow Yun-Fat, Michelle Yeoh, and Jet Li. I will not complain too much, because Dr. Wai is one of the last Jet Li movies I've yet to see, and they gave me the opportunity to see it on the big screen.</p><p>I'm a diehard fan, so I'm not disappointed that I saw this film, but if you are not in the same boat, I cannot recommend this film. There are many parts of the film where I laughed, and some of the  set-ups which weren't even meant to be funny brought a chuckle. As for the action, it is nothing to shout about. There are some nice kicks, but some of the fights are just too ridiculous to enjoy on the level of fighting. The sumo wrestlers are a good example. They are unexpected (sorta, Japanese bashing aside) and the fact that everytime they fall into something they collapse it makes you laugh. But, Jet's use of taiji is straight out of Tai Chi Master, so it came across to me as unoriginal and unimpressive.</p><p>The plot of this film is extremely weak. When you get the happy ending, it doesn't really make any sense. Most of the film takes place in a story written by the different characters in the \"real\" world. For me, it just didn't fall together like it could. The plot leaves itself open for this a little, because each new person who comes in to write a part of the story does so because they do not like the way the story before was going. But even with that, things just don't work or make sense, often.</p><p>One other thing about this film to complain about... the stuntwork. Jet Li is just so accustomed to wirework by now that he has no trouble making it look smooth and somewhat natural. Everyone else, however, is a different story. There are a couple scenes where something crashed through a wall or into the side of a building and people on the other side are thrown away. Trouble is, each time they do this, you can see the wires on screen AND they don't even fall... they sort of float away in the air.  The special effects in this movie, in general, leave a lot to be desired; it is hard to believe that this film was made in 1996. I think they blew all their money on the last scenes and had to cut back everywhere else. That would be a decent excuse, at least.</p>
80014|dune|Video at home|2001-01-27|<p>I finished reading the book <strong>Dune</strong> by Frank Herbert about a week ago. Although I have never been a big science fiction reader, this is by far the best sci-fi book I've ever read. It is an incredibly well thought out masterpiece that pulled me in from the beginning, with a world which combines many elements of our own with many novel concepts. It was one of those books which you cannot put down, which really says something for such a thick book. So, naturally, I wanted to see the movie. I would also like to see the TV mini-series which came out late last year, though I have heard it is not as good as the movie.</p><p>I had trouble paying attention to the movie. This is just a book that cannot be tackled properly in a motion picture of just over 2 hours. The French film, <strong>Germinal</strong> is the only example of a film based on a very long book which did a good job of abbreviating a text for a movie. Dune is not a good adaptation. I think the abbreviations came in a lot of appropriate places, but there is too much thought into the original for this movie to be comprehensible or appealing to  someone who has not read the book.</p><p>I also have to say that I didn't really like the visual interpretations, whoever they might be attributed to. I've not seen all that much of David Lynch's stuff, but I could see his handiwork clearly, and did not find it endearing at all. I really imagined things much differently from my own reading. First of all, my interpretation of the text was much more of a materialist universe, and not one of telepathy and sound-enhanced gun fire. I was left wondering, since I haven't read any of the other Dune books yet, how much of this interpretation may have come from Lynch's reading of the entire series. I would hope the answer is very little. I have to gripe in particular about the wierding way. I saw much of the combat in the novel as hand-to-hand, and not gun fighting, and I associated the weirding way with hand-to-hand combat (as the movie even does at one point when Lady Jessica takes Stilgard in their first encounter).</p><p>The video cover talks of an all-star cast, but I have to say the acting really disappointed me. Part of it comes from a lack of character development in the film; the deep understanding of Paul, or the way Lady Jessica holds herself, or the mannerisms and actions of the Baron Harkonnen are all aspects where the film could have captured the spirit of the novel but failed. The script, of course, was shit. There are scenes that, although abbreviated, could have been written much better.</p><p>I certainly cannot recommend this film to anyone who has not read the book... you just will not understand so much of what is going on. I also cannot recommend the film to someone who has read the book, for all the reasons I have mentioned above. Sometimes I enjoy watching a film adaptation, not because it is going to live up to the original book, but because you can enjoy the way in which someone has put these ideas into the visual medium. Some movies, like <strong>Beloved</strong>, strengthened my understanding of the novel through their interpretations, but Dune just does not do this.</p>
80015|almostfamous|Video at home|2001-02-03|<p>I'd heard about this movie a little bit when it came out and had heard good reviews of it, but I'm not one for spending time and money at the theater for this kind of film. Given the opportunity to see it for free at home and having no willpower to go out on a Saturday night, I opted to watch.</p><p>The movie was enjoyable overall. There were a number of laughs which were well earned: the story was necessary as build-up and the punch-line made that much richer as a result. Many of the characters were interesting as well, particularly the mother. I personally did not like Penny Lane, though. Her cherubic face only helped fit her that much more strongly into the stereotype she represented. What I mean by this is the stereotype of the attractive girl in high school who looks innocent but is nothing like that underneath.</p><p>I guess on one level I could empathize with the 15-year-old protagonist. He had a little of me in him, though certainly gobs more opportunity as a child. I think that is what also left me somewhat disturbed and depressed after the movie. He really invested too much time and effort into a fantasy (Penny Lane), and then had the fantasy come to fruition in a limited sense by the end of the film. Reality never works that way.</p><p>I wouldn't tell anyone not to see this end-of-innocence film, but it also does not rise to the top of any of my lists. The plot is interesting and even somewhat believable, and of course the music was good.</p>
80016|officespace|Video at home|2001-02-17|<p>Here is yet another review for a movie I have already seen, and several times I might add. I saw this in the theater, and have watched it on video at least one other time. I own the video. I haven't been much in the mood for watching movies lately, and when I did decide to watch something, I just went for something from my own shelf.</p><p>I think this ranks up there as one of the greatest comedies of all time. Unlike so many other comedies, everyone I know can relate to this film. The reason for this is, quite simply, because it is about work. So many of the little things that make you laugh in this film could be straight out of your own life and experience. To top it off, the film is just well done at that. Oh yeah, and I love the soundtrack.</p><p>I'll be honest, I don't know what else I can say. You really have to watch this movie and take in all the jokes. It comes from the beginning, with everyone stuck in traffic. When Michael turns down the music and locks the car door just because a black man is walking by selling flowers. The music is of course gangsta rap. Milton is also a wonderful character, with his mumblings and the way that management just pushes him around. You have to cheer at how things turn out for him in the end.</p><p>I think the scariest things about this movie is how much I can relate to the main character. The desire to just do nothing. I'm so there. And of course, in the end he takes the job I have been so tempted to take myself.</p><p>Anyway, I cannot recommend this movie enough if you have not seen it already. Go out and buy it today.</p>
80017|onceathief|DVD at home|2001-03-19|<p>Ok, to be honest, I really haven't seen all that many John Woo or Chow Yun Fat movies. I've been fairly pleased with the ones I have caught (MI2 being the glaring exception, I hated that trash). I've never been into the bullets and ballet as much, though I enjoy them when I catch them. Once a Thief is just fun. There are many parts which are just corny, you cannot take them seriously, but the hour and a half is well spent.</p><p>The three main characters are art thieves, roaming France and plucking paintings for whomever. They get set up, however, by their \"dad\" (who is the one who trained them), and Chow Yun Fat seems to sacrifice his life to save his friend, only to reappear a couple years later in a wheelchair. Of course, you don't realize that a couple years have passed until after the fast forward.</p><p>I cannot say that Chow's acting here is at its best. Of course, nothing beats the scene where he is in the wheelchair and moving his paralyzed legs. By the end of the movie, I'm left wondering if it is intentional, but it comes across as bad actings when you see it. The plot is simplistic and character development leaves something to be desired, but I would recommend this film to someone interested in the genre. Don't expect long amazing action, though there are stunts that impress.</p>
80018|st2|Video at home|2001-03-24|<p>Well, I'm closing in on the last of Jet Li's movies. Probably the reason this is near the end of my list is because it is not so  readily available. It certainly isn't because of the quality (<strong>The Master</strong> would take last place there), though Jet's young age shines through in all these early films.</p><p>The premise of this movie is very simple. On one side of a river live the Dragons, all adopted boys being raised by a man trained at Shaolin. On the other side lives the family Phoenix, a father who is master of Wudang sword, but unable to bear any sons and sporting a whopping ten daughters by the end of the film. The bandits responsible for creating the Dragon family of orphans is still out to destroy them, and so the intrigue ensues as tensions across the river mount.</p><p>Some familiar faces from the first <strong>Shaolin Temple</strong> movie pop up in this one, so you can expect the same excellent level of wushu. I don't remember the tom-boy, love interest of Jet's character from the first film, but she is both the most attractive woman in the film and the most enjoyable swordsman to watch. Many of the kids imitate certain styles, including monkey, tiger and snake. You get to see a lot of serious and play fighting, both open-hand and weapons. Obviously, part of the conflict is between the Wudang sword style and the Shaolin staff.</p><p>The plot cannot be taken too seriously, but what can one expect with the set-up I've already explained. Jet's boyish acting is also a little unbearable at time, coming across as ridiculous because of how old he obviously is. Despite these short-comings, an enjoyable film, though not the caliber of the first one, which I desire to add to my DVD collection when I can find a serious copy of it (subtitles were sometimes cut off in both movies because of the bad transfer).</p>
80019|9to5|Video at home|2001-03-25|<p>I had thought I had seen this as a kid, but nothing about the movie brought back any memory. I've been wanting to catch this film for a while, partly because the song gets stuck in my head every now and then (I've been working as a secretary, remember), but also partly because of the obviously working-class humor.</p><p>This is certainly a classic film. Simple one-liners from Tomlin crack me up, like \"I know exactly where to stick this\" and \"Did you read my memo? Yeah, I ripped right through it.\" There are excellent stabs at the boss-man throughout, as well as straight-up criticism of the work place. The obvious, of course, being the different work rules and the way working people would start running an office once they take the reigns.</p><p>If you haven't seen this classic of American humor, or don't remember it, then you definitely have to go out and rent it. There's a part of me that's even tempted to procure a copy for myself, but my library is already bloated with copies as it is.</p>
80020|ghostdog|DVD at home|2001-03-26|<p>Classic symphony brought to life before your eyes. I enjoyed this film when I saw it in the theater enough to purchase it on DVD when I found it at discount. This would be my third time watching the film, and I enjoy it that much more. Now if only I could remember to purchase the soundtrack.</p><p>I'm not all that familiar with Jim Jarmusch. I know I've seen a few of his films... I remember watching <strong>Down By Law</strong> several years ago and enjoying it, but I cannot remember much about it. I know there are other films of his that I want to see, but enough about that. I remember first seeing the preview for this film before <strong>Blair Witch Project</strong> (shiver) and being somewhat confused but somewhat interested. When it opened up at one of the artsy theaters in Hollywood and a couple friends of mine wanted to see it, we went.</p><p>There are so many aspects to this film. All the gangsters, stuck in the past, are watching old cartoons half the time and trying to pay off their delinquent debts the rest of the time. They are falling apart and no one can save them. Ghost Dog is, of course, just a wonderful character whom I am pulled into. The combination of urban music and experience coupled with feudal Japanese ideals is superb. Having studied Japanese history myself, I wonder how many of these details other people catch. Being paid at the beginning of Autumn every year like the samurai of the Tokugawa period, the images pulled from a weakening and changing samurai class (for that is one of the marks of the Tokugawa period, in which the Hagakure was written) punch home the point that old ways are dying.</p><p>The friendship with the Haitian ice cream man is wonderful. The understanding of the two and their interaction moves one to both laughter and tears. The bear references, which leads to the beautiful scene near the end of the movie with the two hunters, make the Ghost Dog character that much more appealing.</p><p>I cannot really recommend this movie enough. If you like Wu-Tang Clan and RZA, then you will love the music. If you even know a little bit about Japanese history, you will love the references. The different quotations from the Hagakure almost lured me to purchase a copy when I was at a bookstore a while back. And the rapping gangster, slipping Public Enemy off the tongue like a true fan. The Shaolin master (in  real life, that is) kicking the shit out of a guy trying to snag his groceries. And of course, Forest Whitaker kicks ass.</p>
